Ad_Post_Date,Ad_Views,Address,Agency,District,ID,Link,Price,Price_Unit,Property_Type,Seller,Seller_Contact,Seller_Email,Title
"Aug 15, 2023",106,Budhanilkantha,Fyafulla Real Estate Services,Kathmandu,NH20160,https://www.nepalhomes.com/detail/house-for-sale-NH20160,5.3 Cr,NA,House,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,House for Sale
"Aug 14, 2023",129,Tikathali,Aabhari Real Estate,Lalitpur,NH20153,https://www.nepalhomes.com/detail/2-bhk-house-for-sale-NH20153,1.7 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,2 BHK House for Sale
"Aug 15, 2023",17,Thamel,Fyafulla Real Estate Services,Kathmandu,NH20157,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20157,1.3 Cr,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 14, 2023",553,Changathali,Aabhari Real Estate,Lalitpur,NH20152,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20152,1.6 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,4 BHK House for Sale
"Aug 15, 2023",65,Salyanthan,C Marg Service,Kathmandu,NH20159,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20159,23 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 15, 2023",169,Budhanilkantha,Serene Estates,Kathmandu,NH20156,https://www.nepalhomes.com/detail/3-bhk-house-for-sale-NH20156,1.9 Cr,NA,House,,9841794975,sereneestates71@gmail.com,3 BHK House for Sale
"Aug 15, 2023",21,Balaju,Fyafulla Real Estate Services,Kathmandu,NH20158,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20158,48 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 13, 2023",496,Tikathali,G.P. Real Estate Services,Lalitpur,NH20147,https://www.nepalhomes.com/detail/house-for-sale-NH20147,2.45 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,House for Sale
"Aug 13, 2023",89,Tikathali,G.P. Real Estate Services,Lalitpur,NH20146,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20146,2.35 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,4 BHK House for Sale
"Aug 13, 2023",214,Tikathali,G.P. Real Estate Services,Lalitpur,NH20148,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20148,2.45 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,4 BHK House for Sale
"Aug 14, 2023",67,Imadol,Aabhari Real Estate,Lalitpur,NH20151,https://www.nepalhomes.com/detail/house-for-sale-NH20151,4.25 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,House for Sale
"Aug 12, 2023",486,Bhaisepati,Serene Estates,Lalitpur,NH20143,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20143,30 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land for Sale
"Aug 13, 2023",806,Imadol,Property In Nepal,Lalitpur,NH20149,https://www.nepalhomes.com/detail/house-for-sale-NH20149,3.3 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 11, 2023",1k,Sukedhara,Nepal Home Search,Kathmandu,NH20139,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20139,10.5 Cr,NA,House,Prakash Subba,9802070333,info@nepalhomesearch.com,4 BHK House for Sale
"Aug 10, 2023",206,Deuwa chowk,Serene Estates,Kathmandu,NH20138,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20138,77 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land for Sale
"Aug 11, 2023",190,Lakeside,Nepal Home Search,Kaski,NH20141,https://www.nepalhomes.com/detail/3-bhk-house-for-rent-NH20141,1.2 Lac,m,House,Prakash Subba,9802070333,info@nepalhomesearch.com,3 BHK House for Rent
"Aug 11, 2023",406,Maitidevi,Nepal Home Search,Kathmandu,NH20140,https://www.nepalhomes.com/detail/house-for-rent-NH20140,1.6 Lac,m,House,Prakash Subba,9802070333,info@nepalhomesearch.com,House for Rent
"Aug 9, 2023",1.7k,Bhaisepati,Nepal Bhoomi Real Estate Agency,Lalitpur,NH20130,https://www.nepalhomes.com/detail/3-bhk-house-for-sale-NH20130,3.45 Cr,NA,House,Suresh Tamang,9818783518,info@nepalbhoomi.com,3 BHK House for Sale
"Aug 9, 2023",317,Maharajgunj,Serene Estates,Kathmandu,NH20129,https://www.nepalhomes.com/detail/commercial-land-for-sale-NH20129,11 Cr,NA,Land,,9841794975,sereneestates71@gmail.com,Commercial Land for Sale
"Aug 9, 2023",1.7k,Nakhipot,Serene Estates,Lalitpur,NH20131,https://www.nepalhomes.com/detail/house-for-sale-nakhipot-lalitpur-NH20131,4.2 Cr,NA,House,,9841794975,sereneestates71@gmail.com,House for Sale
"Aug 9, 2023",123,Nakhipot,Serene Estates,Lalitpur,NH20128,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20128,57 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land for Sale
"Aug 9, 2023",348,Hattiban,Property Door Key,Lalitpur,NH20132,https://www.nepalhomes.com/detail/4-bhk-house-for-rent-NH20132,1.6 Lac,m,House,,9865816317,officialdoorkey@gmail.com,4 BHK House for Rent
"Aug 10, 2023",62,Ramkot,Serene Estates,Kathmandu,NH20133,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20133,55 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land for Sale
"Aug 9, 2023",98,Lamatar,Serene Estates,Lalitpur,NH20127,https://www.nepalhomes.com/detail/residential-land-for-sale-green-valley-housing-lamatar-NH20127,22 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land for Sale
"Aug 8, 2023",132,Koteshwor,Property In Nepal,Kathmandu,NH20121,https://www.nepalhomes.com/detail/house-for-sale-NH20121,6.8 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 8, 2023",151,Imadol,Property In Nepal,Lalitpur,NH20122,https://www.nepalhomes.com/detail/house-for-sale-NH20122,2.7 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 8, 2023",60,Imadol,Property In Nepal,Lalitpur,NH20123,https://www.nepalhomes.com/detail/house-for-sale-NH20123,3.45 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 9, 2023",183,Durbar Marga,Nearme Nepal,Kathmandu,NH20126,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20126,Price on call,NA,House,MIlan Jung Thapa,9819793696,nearmenepal99@gmail.com,Bungalow House for Sale
"Aug 8, 2023",72,Bhaisepati,Property In Nepal,Lalitpur,NH20124,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20124,6.9 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 8, 2023",86,Satdobato,Property In Nepal,Lalitpur,NH20125,https://www.nepalhomes.com/detail/3-bhk-apartment-for-sale-NH20125,2.9 Cr,NA,Apartment,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,3 BHK Apartment for Sale
"Aug 7, 2023",68,Dhapakhel,Property In Nepal,Lalitpur,NH20112,https://www.nepalhomes.com/detail/house-for-sale-NH20112,3.5 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 7, 2023",173,Durbar Marga,Property In Nepal,Kathmandu,NH20113,https://www.nepalhomes.com/detail/house-for-sale-NH20113,1.25 Cr,aana,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale in land price
"Aug 7, 2023",112,Hattiban,Property In Nepal,Lalitpur,NH20118,https://www.nepalhomes.com/detail/house-for-sale-NH20118,Price on call,m,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 7, 2023",876,Imadol,Property In Nepal,Lalitpur,NH20117,https://www.nepalhomes.com/detail/house-for-sale-NH20117,3.2 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 7, 2023",27,Imadol,Property In Nepal,Lalitpur,NH20116,https://www.nepalhomes.com/detail/house-for-sale-NH20116,3.35 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 7, 2023",33,Imadol,Property In Nepal,Lalitpur,NH20111,https://www.nepalhomes.com/detail/house-for-sale-NH20111,4.25 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 4, 2023",162,Satungal,Serene Estates,Kathmandu,NH20101,https://www.nepalhomes.com/detail/residential-land-in-hariyali-awas-satungal-on-sale-NH20101,40 Lac,aana,Land,,9841794975,sereneestates71@gmail.com,Residential Land on Sale
"Aug 4, 2023",3.2k,Satungal,Serene Estates,Kathmandu,NH20102,https://www.nepalhomes.com/detail/flat-system-residential-house-at-hariyali-awas-satungal-on-sale-NH20102,2.8 Cr,NA,House,,9841794975,sereneestates71@gmail.com,House on Sale
"Aug 7, 2023",313,Bhaisepati,Property In Nepal,Lalitpur,NH20110,https://www.nepalhomes.com/detail/house-for-sale-NH20110,4.6 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 3, 2023",43,Shankhamul,Property Door Key,Kathmandu,NH20100,https://www.nepalhomes.com/detail/open-space-office-space-for-rent-NH20100,Price on call,m,Office Space,,9865816317,officialdoorkey@gmail.com,Office Space for Rent
"Aug 3, 2023",83,Imadol,G.P. Real Estate Services,Lalitpur,NH20092,https://www.nepalhomes.com/detail/house-for-sale-NH20092,2.75 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,House for Sale
"Aug 3, 2023",140,Tikathali,G.P. Real Estate Services,Lalitpur,NH20093,https://www.nepalhomes.com/detail/2-bhk-house-for-sale-NH20093,1.55 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,2 BHK House for Sale
"Aug 3, 2023",112,Nakhipot,G.P. Real Estate Services,Lalitpur,NH20094,https://www.nepalhomes.com/detail/house-for-sale-NH20094,2.75 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,House for Sale
"Aug 3, 2023",92,Satdobato,Aabhari Real Estate,Lalitpur,NH20097,https://www.nepalhomes.com/detail/house-for-sale-NH20097,3.25 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,House for Sale
"Aug 3, 2023",165,Satdobato,Aabhari Real Estate,Lalitpur,NH20095,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20095,3.25 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,4 BHK House for Sale
"Aug 3, 2023",454,Imadol,Property Door Key,Lalitpur,NH20099,https://www.nepalhomes.com/detail/bungalow-house-for-rent-NH20099,Price on call,m,House,,9865816317,officialdoorkey@gmail.com,Bungalow House for Rent
"Aug 3, 2023",775,Satdobato,Aabhari Real Estate,Lalitpur,NH20098,https://www.nepalhomes.com/detail/house-for-sale-NH20098,3.25 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,House for Sale
"Aug 3, 2023",37,Naya Bazar,Fyafulla Real Estate Services,Kathmandu,NH20091,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20091,75 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 2, 2023",531,Bhaisepati,Nepal Real Estate Solution,Lalitpur,NH20086,https://www.nepalhomes.com/detail/4-bhk-house-for-rent-NH20086,"80,000",m,House,Gopal Barudi,9851169909,info@realestateinnepal.com,4 BHK House for Rent
"Aug 2, 2023",351,Kalanki,Serene Estates,Kathmandu,NH20082,https://www.nepalhomes.com/detail/bungalow-house-in-civil-homes-society-tinthana-on-sale-NH20082,5 Cr,NA,House,,9841794975,sereneestates71@gmail.com,Bungalow on Sale
"Aug 2, 2023",65,Duwakot,Nepal Real Estate Solution,Bhaktapur,NH20083,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20083,22 Lac,aana,Land,Gopal Barudi,9851169909,info@realestateinnepal.com,Residential Land for Sale
"Aug 2, 2023",179,Satungal,Nepal Real Estate Solution,Kathmandu,NH20087,https://www.nepalhomes.com/detail/3-bhk-house-for-sale-NH20087,2.4 Cr,NA,House,Gopal Barudi,9851169909,info@realestateinnepal.com,3 BHK House for Sale
"Aug 2, 2023",99,Bhangal,Fyafulla Real Estate Services,Kathmandu,NH20088,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20088,42 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 1, 2023",759,Budhanilkantha,Ghar Jagga Bazar Realestate,Kathmandu,NH20078,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20078,3.8 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,Bungalow House for Sale
"Aug 2, 2023",642,Dhapasi,Fyafulla Real Estate Services,Kathmandu,NH20090,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20090,2.25 Cr,NA,House,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,4 BHK House for Sale
"Jul 31, 2023",346,Baluwatar,Nepal Home Search,Kathmandu,NH20071,https://www.nepalhomes.com/detail/bungalow-house-for-rent-NH20071,2.5 Lac,m,House,Prakash Subba,9802070333,info@nepalhomesearch.com,Bungalow House for Rent
"Aug 1, 2023",61,Uttardhoka,Nepal Home Search,Kathmandu,NH20073,https://www.nepalhomes.com/detail/3-bhk-flats-for-rent-NH20073,"60,000",m,Flats,Prakash Subba,9802070333,info@nepalhomesearch.com,3 BHK Flats for Rent
"Aug 1, 2023",82,Darjeeling Height,Ghar Jagga Bazar Realestate,Bhaktapur,NH20074,https://www.nepalhomes.com/detail/house-for-sale-NH20074,2.9 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,House for Sale
"Aug 1, 2023",98,Bistagaun,Ghar Jagga Bazar Realestate,Kathmandu,NH20075,https://www.nepalhomes.com/detail/house-for-sale-NH20075,2.75 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,House for Sale
"Aug 1, 2023",64,Suryabinayak,Ghar Jagga Bazar Realestate,Bhaktapur,NH20076,https://www.nepalhomes.com/detail/house-for-sale-NH20076,3.1 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,House for Sale
